,Low,2,3,4,High
SMALL,0.92,1.89,1.92,2.54,2.93
ME2,1.02,1.64,2.44,2.94,2.70
ME3,0.95,2.60,2.48,3.01,3.28
ME4,1.42,1.66,2.27,2.86,2.75
BIG,1.49,1.20,1.14,1.85,1.88
