,Low,2,3,4,High
SMALL,0.41 / 8.17,0.71 / 6.96,0.69 / 6.67,0.88 / 6.40,1.06 / 6.65
ME2,0.42 / 7.66,0.61 / 6.86,0.82 / 6.20,0.96 / 6.07,0.95 / 6.50
ME3,0.35 / 6.74,0.88 / 6.25,0.80 / 5.94,0.91 / 5.56,1.04 / 5.87
ME4,0.46 / 5.98,0.53 / 5.89,0.68 / 5.56,0.89 / 5.73,0.93 / 6.26
BIG,0.39 / 4.88,0.31 / 4.84,0.30 / 4.90,0.51 / 5.08,0.61 / 5.99
