,Low,2,3,4,High
SMALL,0.23 / 0.63,0.42 / 1.36,0.44 / 1.50,0.38 / 1.33,0.40 / 1.35
ME2,0.41 / 1.20,0.52 / 1.74,0.35 / 1.28,0.38 / 1.42,0.35 / 1.20
ME3,0.40 / 1.34,0.40 / 1.45,0.42 / 1.59,0.28 / 1.14,0.34 / 1.32
ME4,0.49 / 1.84,0.36 / 1.39,0.43 / 1.77,0.46 / 1.82,0.49 / 1.78
BIG,0.47 / 2.18,0.37 / 1.74,0.33 / 1.51,0.34 / 1.51,0.42 / 1.60
