,Low,2,3,4,High
SMALL,1.59 / 1.61,1.66 / 1.99,1.85 / 2.32,1.74 / 2.27,1.61 / 2.02
ME2,1.23 / 1.33,2.17 / 2.67,1.48 / 2.00,1.66 / 2.28,1.34 / 1.72
ME3,1.64 / 2.03,2.09 / 2.81,1.45 / 2.04,1.59 / 2.39,1.33 / 1.88
ME4,1.19 / 1.67,1.73 / 2.46,1.52 / 2.30,1.09 / 1.59,1.33 / 1.77
BIG,0.67 / 1.14,1.29 / 2.23,0.88 / 1.50,0.96 / 1.58,1.90 / 2.66
