,Low,2,3,4,High
SMALL,-0.25 / -2.14,0.02 / 0.25,0.07 / 0.85,0.03 / 0.49,0.06 / 0.88
ME2,-0.12 / -1.13,0.10 / 1.06,-0.04 / -0.57,0.01 / 0.10,-0.03 / -0.30
ME3,-0.08 / -0.91,-0.03 / -0.41,0.02 / 0.21,-0.08 / -0.98,-0.02 / -0.26
ME4,0.00 / 0.06,-0.09 / -0.99,0.02 / 0.30,0.06 / 0.60,0.09 / 0.81
BIG,0.04 / 0.62,-0.04 / -0.61,-0.07 / -0.93,-0.05 / -0.59,0.03 / 0.22
