,Low,2,3,4,High
SMALL,1.14 / 33.16,1.00 / 37.20,0.98 / 40.97,0.93 / 47.12,0.96 / 44.89
ME2,1.21 / 37.68,1.07 / 40.67,1.02 / 46.70,1.02 / 46.38,1.07 / 43.62
ME3,1.11 / 41.85,1.08 / 44.34,1.04 / 41.01,1.00 / 42.87,1.05 / 42.29
ME4,1.11 / 47.29,1.12 / 43.11,1.07 / 44.63,1.12 / 41.53,1.15 / 34.03
BIG,0.98 / 52.24,1.04 / 51.80,1.05 / 44.80,1.09 / 43.20,1.19 / 35.80
