,Low,2,3,4,High
SMALL,-0.36 / -1.13,-0.08 / -0.31,0.12 / 0.56,0.03 / 0.19,-0.19 / -0.97
ME2,-0.48 / -1.60,0.47 / 1.91,-0.13 / -0.64,0.03 / 0.13,-0.44 / -1.92
ME3,0.11 / 0.45,0.54 / 2.39,-0.07 / -0.31,0.10 / 0.47,-0.27 / -1.17
ME4,-0.10 / -0.44,0.33 / 1.36,0.12 / 0.55,-0.39 / -1.55,-0.29 / -0.93
BIG,-0.20 / -1.15,0.24 / 1.28,-0.23 / -1.05,-0.25 / -1.06,0.43 / 1.40
