,Low,2,3,4,High
SMALL,0.01 / 8.14,0.03 / 6.89,0.03 / 6.58,0.03 / 6.33,0.03 / 6.59
ME2,0.01 / 7.63,0.04 / 6.73,0.02 / 6.14,0.03 / 5.99,0.02 / 6.45
ME3,0.03 / 6.67,0.04 / 6.14,0.03 / 5.87,0.03 / 5.50,0.02 / 5.82
ME4,0.03 / 5.92,0.03 / 5.80,0.04 / 5.48,0.03 / 5.67,0.03 / 6.19
BIG,0.03 / 4.83,0.04 / 4.77,0.02 / 4.86,0.02 / 5.04,0.04 / 5.88
