portfolio,alpha,beta_RMO,t_RMO,beta_SMB,t_SMB,beta_HML,t_HML,beta_TERM,t_TERM,beta_DEF,t_DEF,r_squared
SMALL LoBM,0.30937311587955146,1.1411987598236,33.15580485573047,1.9854516665317394,41.869383588196385,-0.6507418449861136,-11.114365084449865,0.16290958722305263,1.389545595253518,0.6752122457615511,2.1168057438115504,0.8983994188396917
ME1 BM2,-0.029009499980044075,0.995246919485422,37.20297452611502,1.701259928713457,46.15900724973069,-0.33420437426018906,-7.3440663690859225,0.38432204763811106,4.217644756507262,0.8275134156314881,3.3378304895364765,0.9154801856719605
ME1 BM3,-0.38222959461096107,0.9769372184407729,40.97320632961035,1.6198688991022472,49.31194433529435,-0.12922094206518395,-3.1859858201612976,0.4241450131424022,5.222464967334378,1.0124780763579129,4.58206593979181,0.9269374339233709
ME1 BM4,-0.08673563011427582,0.93473213261205,47.120166889141224,1.58528312635598,58.00500235984808,0.02324188888781487,0.6887612546412425,0.3727127127027184,5.515967879484446,0.8849100481715482,4.813502319775034,0.945080227078446
SMALL HiBM,0.1741506355902594,0.9612440787231816,44.88848778439041,1.6319857351397586,55.31674537655111,0.2726299225446961,7.484321894854942,0.4137502069736585,5.6724071564693865,0.6813316782303828,3.4332251914796523,0.9407272335332117
ME2 BM1,0.532434107839036,1.2083840856303725,37.68116547099974,1.5739625726002748,35.624821351617356,-1.0130027799478176,-18.569816294129105,0.31476711481085934,2.8816189935093286,0.6225927990539201,2.094912241719258,0.8997165047262184
ME2 BM2,-0.7949071285825501,1.0702674116721815,40.67212133996894,1.5317552058215913,42.25059718569305,-0.38136180756283494,-8.519603048451813,0.4848382416208629,5.4091529888344025,1.4418538641081304,5.912459510302899,0.9157386836583215
ME2 BM3,0.24995674849928243,1.0230560671188196,46.7031490243491,1.3698472237778867,45.38975382000821,-0.20614841552299917,-5.5322827777716945,0.32880329751960685,4.406672429188432,0.7998259035082981,3.939894618672314,0.9285457862742701
ME2 BM4,0.0762317733537715,1.021720833421135,46.37883656489671,1.293067230666123,42.60373463846675,0.04765360575943815,1.2716307134765885,0.3788733515456619,5.049048419912076,0.9554173836377795,4.6797553691381095,0.9245682902566048
ME2 BM5,0.47865935892908584,1.068960237233936,43.62180022219502,1.408418760309151,41.716974037527706,0.24386451723328967,5.850167328852797,0.3629749139350839,4.348570540358764,0.5351364791449358,2.3563999340830724,0.9185674569157471
