,Low,2,3,4,High
SMALL,-0.19 / -3.14,0.07 / 1.46,0.27 / 6.38,0.40 / 11.57,0.66 / 17.66
ME2,-0.52 / -9.35,0.05 / 1.12,0.21 / 5.42,0.46 / 11.96,0.68 / 15.78
ME3,-0.38 / -8.22,0.03 / 0.64,0.22 / 5.06,0.51 / 12.54,0.65 / 14.98
ME4,-0.40 / -9.66,-0.00 / -0.00,0.25 / 6.07,0.53 / 11.16,0.75 / 12.65
BIG,-0.45 / -13.74,0.03 / 0.77,0.22 / 5.39,0.50 / 11.34,0.95 / 16.34
