# DISCLAIMER: TERM and DEF are yield-based proxy factors constructed from FRED data, not return-based factors as in FF(1993). DEF is the BAA-AAA corporate bond yield spread. Numerical results may differ from the original paper. Stock factors (Mkt-RF, SMB, HML) will be added when available.
Date,TERM,DEF,RF,Mkt-RF,SMB,HML
1969-05,0.0028,0.0072999999999999,0.48,-0.0967681805175388,1.790617888593978,0.9050799021541182
1969-06,0.0013,0.0071999999999999,0.51,-7.158153637787382,-4.881688525914296,-3.3076740659086603
1969-07,-0.0028,0.0075999999999999,0.53,-6.991503158824128,-2.8356689931101897,0.8990586379268644
1969-08,-0.0029,0.0089,0.5,4.655924530103251,-0.1557812243220873,-4.209327295219226
1969-09,0.0006999999999999,0.0091,0.62,-2.979961236342372,0.4855067518469727,-1.6631210421572749
1969-10,0.0009999999999999,0.0089,0.6,5.037891753532902,2.1327224138127887,-2.1618806650240554
1969-11,-0.001,0.009,0.52,-3.7965738130973694,-2.00622320833082,-2.5471679153080022
1969-12,-0.0017,0.0093,0.64,-2.6307649446080625,-4.886870519118589,-1.938788436498244
1970-01,-0.0008,0.0094999999999999,0.6,-8.086178751980936,3.876920048643983,2.043060208708262
1970-02,0.0011,0.0084999999999999,0.62,5.105935954536676,-2.415880094586382,3.732925992789345
1970-03,0.0044,0.0079,0.5700000000000001,-1.0328259384137382,-2.0138339120566706,3.441161330872606
1970-04,0.0088,0.0087,0.5,-10.989177046822562,-6.075963209095992,6.3084849503103655
1970-05,0.0107,0.0087,0.53,-6.933540680436046,-3.9711399908195295,1.7969676581534737
1970-06,0.0116,0.0076999999999999,0.58,-5.785398956636216,-1.9925435548754864,1.518685104059997
1970-07,0.0100999999999999,0.0096,0.52,6.932927564025168,0.5224187286173603,0.2646672529996365
1970-08,0.0112,0.0130999999999999,0.53,4.542811791816013,2.189898523827952,1.9325644652098983
1970-09,0.0126999999999999,0.013,0.54,4.1679985381614095,8.148303162696557,-4.093990834920033
