Date,SHORT_TERM,LONG_TERM,AAA,AA,A,BBB,LOW_GRADE
1963-07-31,0.0002499999999999996,0.0006833333333333332,0.00078,0.0008766666666666668,0.000973333333333333,0.0010699999999999998,0.0011666666666666665
1963-08-31,0.0001749999999999998,0.0005833333333333327,0.0006733333333333325,0.0007633333333333329,0.0008533333333333327,0.0009433333333333325,0.001033333333333333
1963-09-30,0.00015833333333333324,0.0005750000000000003,0.0006633333333333317,0.0007516666666666638,0.0008399999999999953,0.0009283333333333267,0.0010166666666666588
1963-10-31,0.00015833333333333324,0.0005833333333333333,0.0006683333333333333,0.0007533333333333333,0.0008383333333333333,0.0009233333333333333,0.0010083333333333333
1963-11-30,0.0001833333333333334,0.0004666666666666667,0.0005516666666666668,0.0006366666666666668,0.0007216666666666668,0.0008066666666666668,0.0008916666666666668
1963-12-31,0.00024166666666666664,0.0005166666666666665,0.0005999999999999981,0.0006833333333333297,0.0007666666666666615,0.0008499999999999931,0.0009333333333333248
1964-01-31,0.00022500000000000008,0.000525,0.0005983333333333332,0.0006716666666666664,0.0007449999999999997,0.0008183333333333336,0.0008916666666666668
1964-02-29,0.0002083333333333335,0.0005416666666666665,0.0006200000000000002,0.0006983333333333332,0.0007766666666666668,0.0008549999999999999,0.0009333333333333334
1964-03-31,0.0003083333333333335,0.0005750000000000003,0.0006500000000000001,0.0007250000000000005,0.0008000000000000004,0.0008750000000000002,0.00095
1964-04-30,0.0003666666666666668,0.0006249999999999994,0.0006999999999999975,0.0007749999999999962,0.0008499999999999943,0.000924999999999993,0.0009999999999999911
1964-05-31,0.0002999999999999999,0.0005916666666666674,0.0006649999999999989,0.000738333333333331,0.0008116666666666625,0.000884999999999994,0.0009583333333333255
1964-06-30,0.0002916666666666669,0.0005583333333333337,0.0006316666666666653,0.0007049999999999973,0.0007783333333333288,0.0008516666666666603,0.0009249999999999918
1964-07-31,0.0002166666666666671,0.000608333333333334,0.0006799999999999989,0.0007516666666666638,0.0008233333333333292,0.0008949999999999942,0.0009666666666666591
1964-08-31,0.00019999999999999996,0.0005916666666666662,0.0006599999999999979,0.0007283333333333296,0.0007966666666666613,0.000864999999999993,0.0009333333333333248
1964-09-30,0.00025833333333333323,0.0005416666666666665,0.0006083333333333334,0.0006749999999999997,0.0007416666666666665,0.0008083333333333333,0.0008749999999999996
1964-10-31,0.00024166666666666664,0.0004916666666666668,0.0005566666666666671,0.0006216666666666667,0.000686666666666667,0.0007516666666666667,0.0008166666666666669
1964-11-30,0.00022500000000000008,0.0004666666666666667,0.0005299999999999987,0.0005933333333333299,0.0006566666666666618,0.0007199999999999932,0.0007833333333333251
1964-12-31,0.00014999999999999966,0.0003083333333333335,0.0003699999999999982,0.00043166666666666353,0.0004933333333333283,0.0005549999999999935,0.0006166666666666583
1965-01-31,0.00010833333333333296,0.0003166666666666671,0.00037833333333333355,0.00044000000000000056,0.0005016666666666671,0.0005633333333333335,0.0006250000000000006
1965-02-28,8.333333333333341e-05,0.00024166666666666607,0.00030333333333333254,0.0003649999999999996,0.00042666666666666607,0.0004883333333333325,0.0005499999999999996
1965-03-31,0.00010833333333333296,0.00022500000000000008,0.00028499999999999993,0.0003449999999999998,0.00040500000000000025,0.00046500000000000014,0.000525
1965-04-30,9.16666666666664e-05,0.0002333333333333331,0.0002949999999999995,0.0003566666666666666,0.00041833333333333306,0.0004799999999999995,0.0005416666666666665
1965-05-31,0.00011666666666666654,0.00028333333333333335,0.0003449999999999981,0.0004066666666666634,0.00046833333333332815,0.0005299999999999935,0.0005916666666666582
1965-06-30,0.0001583333333333338,0.00033333333333333365,0.00039833333333333214,0.0004633333333333301,0.0005283333333333286,0.0005933333333333271,0.000658333333333325
1965-07-31,0.00011666666666666711,0.0003166666666666665,0.0003833333333333316,0.0004499999999999967,0.0005166666666666613,0.0005833333333333263,0.0006499999999999914
1965-08-31,0.00019166666666666694,0.00035833333333333317,0.0004233333333333317,0.0004883333333333297,0.0005533333333333281,0.0006183333333333266,0.0006833333333333245
1965-09-30,0.00023333333333333366,0.00035833333333333317,0.00042333333333333345,0.0004883333333333331,0.0005533333333333333,0.000618333333333333,0.0006833333333333332
1965-10-31,0.0002249999999999995,0.0003166666666666665,0.00037833333333333295,0.00044,0.0005016666666666664,0.0005633333333333329,0.000625
1965-11-30,0.00023333333333333366,0.00032500000000000064,0.0003833333333333339,0.0004416666666666672,0.0005000000000000004,0.0005583333333333337,0.0006166666666666676
1965-12-31,0.00028333333333333335,0.00022500000000000067,0.0002816666666666673,0.000338333333333334,0.00039500000000000066,0.00045166666666666733,0.000508333333333334
1966-01-31,0.00024166666666666664,8.333333333333398e-05,0.00013666666666666572,0.00018999999999999746,0.0002433333333333292,0.00029666666666666036,0.0003499999999999921
1966-02-28,0.00024166666666666664,0.00030833333333333234,0.000364999999999999,0.0004216666666666657,0.00047833333333333235,0.000534999999999999,0.0005916666666666657
1966-03-31,0.0003166666666666665,0.00010000000000000055,0.0001666666666666674,0.00023333333333333366,0.0003000000000000005,0.0003666666666666673,0.0004333333333333342
1966-04-30,0.00023333333333333366,0.00014166666666666668,0.00021666666666666652,0.0002916666666666669,0.0003666666666666668,0.0004416666666666666,0.0005166666666666665
1966-05-31,0.00024166666666666664,0.0001333333333333337,0.00021666666666666536,0.00029999999999999705,0.0003833333333333287,0.0004666666666666604,0.000549999999999992
1966-06-30,0.0003916666666666663,0.0003916666666666663,0.0004766666666666663,0.0005616666666666664,0.0006466666666666664,0.0007316666666666664,0.0008166666666666664
1966-07-31,0.00030833333333333293,0.00020833333333333294,0.0002949999999999978,0.0003816666666666627,0.00046833333333332815,0.000554999999999993,0.0006416666666666579
1966-08-31,0.0004833333333333333,0.00033333333333333365,0.00042000000000000023,0.0005066666666666669,0.0005933333333333334,0.00068,0.0007666666666666672
1966-09-30,0.00037500000000000033,-0.0002916666666666669,-0.00019166666666666868,-9.166666666667045e-05,8.333333333327789e-06,0.0001083333333333266,0.00020833333333332484
1966-10-31,0.00019166666666666694,-0.0003166666666666671,-0.00020166666666666887,-8.666666666667065e-05,2.833333333332813e-05,0.00014333333333332635,0.00025833333333332456
1966-11-30,0.0001833333333333328,-0.00016666666666666682,-3.666666666666691e-05,9.3333333333333e-05,0.0002233333333333329,0.0003533333333333334,0.0004833333333333333
1966-12-31,0.00020000000000000052,-0.0002666666666666668,-0.000135000000000002,-3.333333333336667e-06,0.0001283333333333281,0.00025999999999999347,0.0003916666666666582
1967-01-31,2.5000000000000137e-05,-0.00016666666666666682,-3.833333333333524e-05,8.999999999999633e-05,0.0002183333333333279,0.00034666666666666006,0.00047499999999999165
1967-02-28,0.00012500000000000068,0.0001333333333333337,0.00026499999999999847,0.0003966666666666638,0.0005283333333333286,0.0006599999999999939,0.0007916666666666587
