,Low,2,3,4,High
SMALL,0.16 / 1.39,0.38 / 4.22,0.42 / 5.22,0.37 / 5.52,0.41 / 5.67
ME2,0.31 / 2.88,0.48 / 5.41,0.33 / 4.41,0.38 / 5.05,0.36 / 4.35
ME3,0.32 / 3.55,0.36 / 4.32,0.40 / 4.59,0.29 / 3.59,0.36 / 4.25
ME4,0.41 / 5.10,0.32 / 3.60,0.41 / 5.06,0.46 / 5.04,0.51 / 4.45
BIG,0.39 / 6.20,0.34 / 4.92,0.31 / 3.85,0.34 / 4.01,0.46 / 4.04
