,Low,2,3,4,High
SMALL,1.99 / 41.87,1.70 / 46.16,1.62 / 49.31,1.59 / 58.01,1.63 / 55.32
ME2,1.57 / 35.62,1.53 / 42.25,1.37 / 45.39,1.29 / 42.60,1.41 / 41.72
ME3,1.33 / 36.36,1.23 / 36.81,1.16 / 33.27,1.03 / 32.01,1.11 / 32.52
ME4,0.89 / 27.41,0.91 / 25.53,0.88 / 26.54,0.83 / 22.36,0.95 / 20.28
BIG,0.32 / 12.46,0.36 / 13.04,0.38 / 11.62,0.39 / 11.28,0.51 / 11.13
