,Low,2,3,4,High
SMALL,0.68 / 2.12,0.83 / 3.34,1.01 / 4.58,0.88 / 4.81,0.68 / 3.43
ME2,0.62 / 2.09,1.44 / 5.91,0.80 / 3.94,0.96 / 4.68,0.54 / 2.36
ME3,1.12 / 4.56,1.52 / 6.75,0.87 / 3.72,1.02 / 4.68,0.68 / 2.98
ME4,0.91 / 4.20,1.35 / 5.60,1.10 / 4.93,0.63 / 2.52,0.76 / 2.41
BIG,0.69 / 3.98,1.18 / 6.38,0.73 / 3.35,0.74 / 3.17,1.52 / 4.92
