,Low,2,3,4,High
SMALL,1.44 / 28.74,1.23 / 31.47,1.15 / 33.21,1.14 / 39.42,1.17 / 37.61
ME2,1.00 / 21.36,1.02 / 26.64,0.88 / 27.64,0.81 / 25.11,0.90 / 25.17
ME3,0.80 / 20.69,0.72 / 20.30,0.67 / 18.04,0.55 / 16.24,0.61 / 16.92
ME4,0.36 / 10.45,0.38 / 10.04,0.37 / 10.50,0.30 / 7.56,0.40 / 8.05
BIG,-0.14 / -5.30,-0.13 / -4.61,-0.13 / -3.66,-0.13 / -3.45,-0.06 / -1.18
