,Low,2,3,4,High
SMALL,-0.65 / -11.11,-0.33 / -7.34,-0.13 / -3.19,0.02 / 0.69,0.27 / 7.48
ME2,-1.01 / -18.57,-0.38 / -8.52,-0.21 / -5.53,0.05 / 1.27,0.24 / 5.85
ME3,-0.83 / -18.40,-0.41 / -9.88,-0.20 / -4.55,0.11 / 2.70,0.23 / 5.35
ME4,-0.84 / -21.17,-0.45 / -10.25,-0.18 / -4.37,0.07 / 1.60,0.28 / 4.91
BIG,-0.84 / -26.54,-0.39 / -11.52,-0.20 / -5.11,0.06 / 1.39,0.47 / 8.29
