,Low,2,3,4,High
SMALL,0.90 / 2.62,0.92 / 2.04,0.93 / 1.82,0.95 / 1.51,0.94 / 1.63
ME2,0.90 / 2.44,0.92 / 2.01,0.93 / 1.67,0.92 / 1.68,0.92 / 1.87
ME3,0.91 / 2.02,0.91 / 1.85,0.90 / 1.93,0.90 / 1.78,0.90 / 1.89
ME4,0.91 / 1.79,0.89 / 1.98,0.89 / 1.83,0.87 / 2.06,0.83 / 2.59
BIG,0.92 / 1.42,0.90 / 1.53,0.87 / 1.79,0.86 / 1.92,0.82 / 2.54
